Gaia_Source_ID,      Name,                    RA,             DEC
4995853010350414976, HD_105,                  1.4689362132,   -41.7530680168
2860924685628241024, HD_166,                  1.6532674004,   29.0215034385 
2337191185233219072, HD_203,                  1.7086925266,   -23.1075402590
2745647969564478720, HD_377,                  2.1072730097,   6.6168026483  
4901229039663980800, HD_1466,                 4.6088474197,   -63.4774946741
2423493364726020224, 9_Cet,                   5.7157851893,   -12.2094364340
2526580413850192000, HD_3126,                 8.6132144378,   -6.5039034307 
2526790935967171968, HD_3296,                 9.0077258226,   -5.5707197601 
4924930902586651520, HD_3670,                 9.7362630409,   -52.5342742691
5031808449327958912, HD_5133,                 13.2547285809,  -30.3569139346
373208949802944128 , V443_And,                17.6746041393,  42.9318311830 
565525971727957632 , HR_333,                  18.0700717101,  79.6739633319 
373349652931556352 , HD_7590,                 19.1218874545,  42.9394175432 
2470272808484339200, 2MASS_J01203226-1128035, 20.1344503948,  -11.4677019279
396341196983414272 , HD_8907,                 22.1431657436,  42.2676915602 
288781162757755008 , EO_Psc,                  22.2704091164,  21.7231684751 
2478002890623968128, EX_Cet,                  24.3977779090,  -6.7604247857 
4715896424837945216, HD_10472,                25.1002729375,  -60.9990628079
4912580638228584832, HD_10647,                25.6221446484,  -53.7408310275
305415674174590592 , HD_10638,                26.0950422768,  32.5158773787 
4912947565873334272, HD_10939,                26.5260960878,  -53.5220350897
4714247019957577088, TYC8850-1468-1,          28.5318341820,  -60.9066592417
97294340832909056  , BD+20_307,               28.7097681996,  21.3062396414 
5135093341825812480, DK_Cet,                  29.4540730954,  -21.9014840331
4714764477617543040, HD_13246,                31.8588542077,  -59.6794285121
568948064229302272 , HD_12467,                32.3554574954,  81.2959439358 
107774198474602368 , HD_14082B,               34.3530746051,  28.7417794370 
2517397842491320448, HD_15115,                36.5676910326,  6.2925515417  
132362954963518208 , AG_Tri,                  36.8718930874,  30.9734989423 
457326846367771264 , HD_15407,                37.7110674674,  55.5484046720 
333649517867959296 , HD_15745,                38.2325455875,  37.3336223613 
4742097271532723712, HD_16743,                39.7815114828,  -52.9348069156
5125921628145939712, HR_826,                  41.6879339195,  -21.6395218571
4721400202089666304, HD_17848,                42.2561975999,  -62.8065224427
123185846804165376 , HD_19257,                46.7163027397,  30.5270594650 
5166951382002967552, IS_Eri,                  47.4261982017,  -9.5796067492 
447692100851468032 , TYC3706-340-1,           49.7078814241,  55.3375531707 
234475699346366720 , HD_278507,               49.9285708190,  36.6837268616 
249164418780724224 , BD+47_837,               52.3593359708,  48.2032470312 
5084963308180605952, HD_21997,                52.9735291918,  -25.6141494086
121249194508817664 , HD_22179,                53.8745875203,  31.2270666730 
217788514451170688 , TYC2359-1127-1,          55.1077148200,  33.7078992018 
5107105926176194560, HD_23356,                55.9805955484,  -19.1108978839
4856592234830637440, HD_23484,                56.0382206874,  -38.2817697720
65222205126393984  , HD_23361,                56.3589237987,  24.0351536589 
243197094297988608 , HD_23267,                56.3794289541,  42.0069223651 
69872039800655744  , HD_23430,                56.4964153421,  25.3985918339 
66838452861270272  , HD_282954,               56.6615604493,  24.9596448676 
65212103363335296  , V1210_Tau,               56.7675481534,  23.9952127848 
65017627244152064  , HD_23632,                56.8373702852,  23.8033433317 
66729876086786944  , V1229_Tau,               56.8727239471,  24.2883388597 
4629074451223637632, HD_24636,                57.0477977864,  -74.6941167238
66506331628024832  , HD_23863,                57.3007807227,  23.8867874939 
225668198891010560 , 50_Per,                  62.1525714626,  38.0397387104 
165954856257910144 , HD_281683,               63.0507521188,  30.4167839964 
229142689995859968 , HD_27026,                64.5337951496,  42.1411571179 
147562466266582528 , HD_283759,               69.2046767433,  24.2163535515 
4867855150909236608, CPD-35_525,              70.3155569355,  -35.2328288976
4880808806633950336, EX_Eri,                  71.6072887574,  -28.0874456959
4881312589117657600, HD_3044,                 71.7063691283,  -26.3024588809
4622453089122285312, HD_32195,                72.0215671779,  -80.7792398272
3233364046010911488, TYC88-1288-1,            72.5550305922,  3.6833446733  
4824866891963046016, HD_31392,                73.5175354397,  -35.4045179405
3289902686258004480, HD_32297,                75.6143163987,  7.4610220840  
285106457459099264 , TYC4079-687-1,           75.6845315954,  60.7171132388 
3183723913515647744, TYC5323-272-1,           76.2146383241,  -8.2949466106 
2982801151525099776, HD_33081,                76.7861191213,  -17.2999183960
3238810133261780096, HD_33636,                77.9435389445,  4.4035381213  
2961556044251149056, HD_34324,                78.9329189277,  -22.8943578069
4819441454915310336, AS_Col,                  80.1585339643,  -39.7549435046
4658542599805652096, TYC9162-586-1,           80.9306456451,  -68.1709953036
2958833619101297792, HD_35841,                81.6524435104,  -22.4899266286
3009908373754300288, AF_Lep  ,                81.7698462734,  -11.9009633489
4808768289386721792, HD_36968,                83.3502890216,  -39.4512937372
2907397743599450112, HR_1915 ,                84.0428975407,  -28.7080132934
3010113295232699264, HD_37306,                84.2865509050,  -11.7755159772
2907308167761659392, HD_37484,                84.4151122253,  -28.6262931455
3216488775908760960, HD_37564,                84.8127492832,  -2.5271219025 
2966779995793890560, HD_38207,                85.8373164979,  -20.1892898626
2967287592208306176, HR_1975 ,                85.8402953629,  -18.5574756150
3023711264771623808, HD_38858,                87.1455845166,  -4.0946452332 
196628619333383040 , HD_39415,                88.6730458773,  44.5020651749 
2889357747084634368, HD_40540,                89.4691610993,  -34.4761130599
961428188691467520 , HD_40979,                91.1247630714,  44.2604430271 
2913411178849955712, HD_43162,                93.4387309858,  -23.8619370192
3020549790883670528, HD_43319,                93.8736382025,  -4.9147182224 
3116883777034077056, V1358_Ori,               94.7835727220,  -3.4389894655 
5495052592399086720, AB_Pic,                  94.8038059750,  -58.0543121456
2898239464575224320, HD_45184,                96.1828315928,  -28.7801152489
5478200618199008768, HD_46190,                96.9525716379,  -62.1499254961
5480006188089954560, HR_2562,                 102.5042292730, -60.2491448587
3380479079767139840, HD_50554,                103.6784426240, 24.2455576457 
5479222236299064832, HD_53143,                104.9985628140, -61.3361813718
3101382415424596608, HD_52265,                105.0751491760, -5.3671613496 
3362140256606550016, HD_57703,                110.7691915050, 18.2734092162 
5586381086218304640, HD_59967,                112.6771321740, -37.3393629641
5592237634911815424, HD_61005,                113.9477598580, -32.2039014781
5209750490589554560, TYC9385-93-1,            119.1436526730, -78.5667787834
3078016899981224448, HD_70298,                125.3170208300, 1.0637758259  
5321368856594220160, HD_71722,                126.6050228520, -52.8074971946
5643811086797924992, HD_72687,                128.3140801280, -29.9565886023
5528196339625823488, HD_73526,                129.3186805240, -41.3191081220
5755064483659664512, V401_Hya,                129.4595575870, -6.8068832091 
1092545706218403072, pi.01_UMa,               129.7987693360, 65.0209066972 
1017229675111384576, HD_75616,                133.2753969940, 52.3902289149 
5297527905448913920, HD_76748,                133.7133505620, -63.7019417040
5317114846104331264, HR_3570,                 133.7990912730, -54.9657687091
5325336375583055232, TYC8160-1896-1,          134.0448984040, -49.4907395584
646255207814240896 , HD_82443,                143.1823308900, 26.9885294246 
5691782332443566208, HD_82943,                143.7113979260, -12.1295466549
5202978907712577536, HD_84075,                144.0742641510, -78.3448858444
794503769336651264 , HD_84870,                147.2618547890, 34.0853943613 
826522613089324288 , HD_85301,                148.0698749750, 49.1907917529 
647092485918571648 , HD_85672,                148.4964562610, 27.6954569980 
5255818790842663424, TYC8946-1580-1,          149.7412182350, -62.3167152442
5472450241103924224, TYC6623-942-1,           156.2320653250, -25.6464005642
5239895629092870144, HD_92536,                159.8451320420, -64.1117883696
5455707152914063232, V419_Hya,                160.8677985780, -29.0642869895
5362093014940561792, TYC8203-154-1,           164.1228964520, -48.3320166073
5241745110729159168, TYC8962-532-1,           164.1761409570, -62.2947119341
5201331049019278464, TYC9410-532-1,           165.3580709350, -76.7520569851
5240646492454323840, HD_308379,               169.3766653860, -64.0428343106
5240643984193422848, HD_98363,                169.4922373230, -64.0425976714
856414417238217984 , HR_4388,                 170.4553705130, 57.0748560375 
5233727506296612224, HD_101088,               174.3110204080, -69.6742248967
5369414456709280512, HD_102458,               176.8522659840, -49.8841718022
5343610327559918848, HD_103234,               178.2833681940, -56.7272503572
3464333608935006080, HD_103266,               178.3617058290, -35.0666420223
5332858443864948224, TYC8981-4034-1,          179.0291998570, -64.3292824855
5341470128171135616, HD_103703,               179.1106818290, -58.8213425989
6075374898258416000, HD_104231,               180.0391927270, -57.1172211061
1681330368961561984, HD_104860,               181.1405452970, 66.3365869327 
5788542963461556864, EF_Cha,                  181.7730070240, -78.7411157169
6126242635487127808, TYC8241-2652-1,          182.2593957980, -51.3447144114
6071348486683466368, HD_105613,               182.4116079020, -58.3496548611
6072504073402829056, HD_105857,               182.7744632550, -56.4013568983
6054195349372231808, HD_106036,               183.0428095920, -63.4541137762
6075815836780852864, CD-54_4621,              183.1489962140, -55.3409143867
3905603050051475200, HD_106252,               183.3729552540, 10.0416365291 
6131118832116740992, HD_106389,               183.6193462320, -47.6128051171
5860789295542940800, HR_4669,                 184.2762901310, -65.6929594039
6072902989962065152, HD_106906,               184.4716325330, -55.9755258819
3946438121633562112, HD_107146,               184.7770914940, 16.5482955065 
6125889726615119616, HD_107649,               185.6035616490, -51.0262120272
6076435067985480704, CD-52_5008,              185.6384698910, -53.5636044404
5842473837003424768, HD_107947,               186.2163277970, -72.6038983293
3958951938346951168, HD_108874,               187.6120075880, 22.8798271265 
6059507983396911744, HD_108857,               187.6928080220, -58.1879944283
5855753394847328128, HD_109832,               189.6782368400, -68.7636450636
6127782192283124096, HD_110058,               189.9424850440, -49.1987638450
6055116293438614016, TYC8992-106-1,           190.5660806640, -63.0176362587
1521686709446648448, 10_CVn,                  191.2475213510, 39.2789157353 
6060052997570362368, HD_111103,               191.9112746390, -58.4157282981
1465313751858888320, HD_111347,               192.0917534310, 30.7671755911 
6079490164123837824, HD_111520,               192.5821602420, -49.8636002363
5857261546840808320, HD_112383,               194.3591179710, -67.9607031437
6084425356425681536, HD_112810,               194.9995083850, -50.3895799710
6080177565048273536, CPD-52 6110,             195.4612491260, -53.0828341472
6086135818563042688, HD_113524,               196.2476876350, -47.3968164409
5862028926180779264, HD_113457,               196.2585050510, -64.4415836453
6057267487938344576, TYC8656-483-1,           196.3240796100, -57.9710128081
6057045420952991104, HD_113556,               196.3858491050, -58.5355446204
6067544691846036608, TYC8653-1256-1,          196.9690013110, -54.7824607345
6055854546777431808, HD_114082,               197.3174685880, -60.3083489737
5869404140942539008, HD_115361,               199.4808985990, -61.0107863334
6061991264774658432, HD_115600,               199.8314204540, -59.4723447732
6083262244920009088, HD_115820,               200.1117172080, -49.2236688688
6083482834442766336, TYC8252-1917-1,          201.4361485950, -47.8190311383
1565867457472631936, HD_116956,               201.4397169140, 56.9704933822 
5868420146754897664, TYC8995-2386-1,          201.4518864730, -62.0684275188
1665517330169636480, HD_117043,               201.4994100350, 63.2612756514 
3740176921448479488, 70_Vir,                  202.1075360070, 13.7787880430 
5870290793989676544, HD_117214,               202.5373952370, -58.4845434366
5869888441459585280, TYC8991-3324-1,          202.9617600210, -60.1781302233
6112762829087987712, CD-40_8031,              204.4887258190, -41.5783046343
1558718054912221952, HD_119124,               205.0968004340, 50.5194150122 
6164998496222020096, HD_118972,               205.2673770820, -34.4641565558
6070549828918584704, HD_119511,               206.1831071260, -49.2993714634
5865593817754800640, HD_119718,               206.6474795890, -62.0693764556
6093660876143031424, HD_120326,               207.4770968540, -50.2399656187
5785159319503718656, HD_120160,               208.3784285170, -80.2728605690
1251629405076244992, HD_121812,               209.3172382730, 23.3623213733 
6095178202186007168, HD_121617,               209.4213552910, -47.0095135215
6121019749095986816, HD_123889,               212.7483745860, -36.2671631792
6269944097954958592, HD_124718,               213.9581736830, -27.3486119070
5896929521189417216, HD_124619,               214.0708041190, -53.8172098869
6117782855583012352, HD_125283,               214.8495000010, -37.0029063792
6103739996154674432, HD_125541,               215.2980764440, -41.7069200903
6092860088077267968, HD_126062,               216.1541670160, -47.1777399765
6092201446252575872, CD-46 9327,              216.7731467400, -47.2393759836
1667027543749822080, HD_127821,               217.6919598720, 63.1857865367 
1605198294068793088, HD_128165,               218.3702827050, 52.9087908276 
5894194314216491648, TYC8683-242-1,           219.4592670120, -54.9614510399
6102199477284607872, HD_129590,               221.1290109080, -39.9890636577
5874349606808615040, TYC9011-3733-1,          222.5402088120, -62.5398201896
1236429000419615616, HD_131496,               223.3459511300, 18.2354075290 
6198115099253734656, TYC7824-2717-1,          223.9719213590, -39.7289664403
1592338509149257600, HD_132254,               224.0960015530, 49.6284499645 
6202242562827054720, HD_131835,               224.2269492110, -35.6954607451
6205597447680150400, HD_133075,               225.8830392430, -31.3762263261
6212050515782832512, HD_133803,               226.8122365350, -29.5044811243
6207388930079215872, HD_134888,               228.3665114280, -33.1472790834
6005159535952544128, TYC7826-2474-1,          228.4599641650, -40.4171945336
4419140641683040384, HD_135599,               228.9965286800, 0.7963607705  
6199818655082933504, HD_135953,               229.7725829900, -36.3622799408
6322069882641960448, GJ_581,                  229.8617789510, -7.7222748422 
6213115117917468544, HD_136246,               230.1309127710, -28.2871065240
6208562246425619840, HD_138296,               233.0838887630, -31.1427440853
5827646166789652352, TYC9022-1316-1,          233.5603371730, -60.8079265863
6237729747288281344, HD_138813,               233.8171086340, -25.7341646393
1389522388131880960, HD_139323,               233.9856923580, 39.8311187216 
5819811287449277696, HR_5792,                 235.0481480000, -70.2278831187
6011549004181034752, HD_140840,               236.7756963760, -35.5180386142
6011475989735933568, TYC7340-321-1,           237.0326065890, -36.0291815806
5989693599238982528, HD_141011,               237.1032516360, -42.6180583166
6239889325564940416, HD_141227,               237.2116094080, -23.6858844212
4402445932005364480, HD_141378,               237.2366542020, -3.8185106183 
4399438149227783168, HD_141569,               237.4906182160, -3.9212060656 
6015150420157277952, TYC7332-2514-1,          237.6849055430, -33.6635700876
5995577807512547712, HD_141943,               238.3637142700, -42.2668625803
1373540058908646272, lam_CrB,                 238.9482794480, 37.9469562277 
6010483817930825728, HD_142446,               239.0234495960, -36.8928722008
6248435898167436160, 2MASS_J15584772-1757595, 239.6988319920, -17.9665854177
6011053949074863744, HD_143538,               240.5771959230, -35.2699336058
6011074324402224768, HD_143675,               240.8064155900, -35.2874814422
5997809575606215168, LM_Lup,                  241.1853702880, -39.4346612138
6243989301345820544, TYC6212-349-1,           241.2310725550, -20.9000029092
6242094636651792000, HD_144587,               241.8746890830, -23.9506801883
6242050415668507392, HD_144729,               242.0437763630, -23.8506688104
5997490201830624256, TYC7851-810-1,           242.1279106770, -38.4741245125
6034863564137378688, TYC7338-1156-1,          242.1306548110, -35.1638044533
4456798777495993344, HD_145229,               242.3609481160, 11.5744576292 
6242853299675623936, TYC6213-12-1,            242.4918803020, -22.4096950964
6243839046209540864, TYC6213-1122-1,          242.5526810460, -21.0790304136
5993268145899442816, HD_145357,               243.0697884970, -42.3750543894
6245692616655920896, HD_145554,               243.0909706360, -19.5790467227
6245694746959698688, HD_145631,               243.1837515000, -19.5028743915
5990267269430786688, HD_145560,               243.3930562290, -45.8176917574
5997144164907211904, HD_145880,               243.7406935180, -39.6278114351
6042205759188154368, 2MASS J16145918-2750230, 243.7465911810, -27.8397083136
5935598761022589184, HD_145972,               244.0159901510, -49.0748325045
5997300982752393856, HD_146181,               244.1182081650, -38.7367658512
5821125856677597568, HD_145689,               244.2725437570, -67.9412844555
6039266283568201600, HD_146606,               244.5673316340, -28.0417081803
6050172064525011072, HD_147196,               245.3299626450, -23.7079831635
6038066853820044160, HD_147594,               245.9744185310, -29.7778087375
5941492693109589248, TYC8316-4073-1,          246.2430915800, -48.6013917277
1709456323080203136, HD_150706,               247.8232620030, 79.7897773575 
6019522903028700416, TYC7358-263-1,           250.5802517210, -36.6555618304
1412260529112829696, HD_151044,               250.6158849430, 49.9364392249 
4326683739695444224, HD_150697,               250.8278925280, -14.0348831172
4130478810297672064, HD_151376,               251.9472383230, -19.8755420791
5914096299313759232, HD_154577,               257.5431292450, -60.7287723154
4569194154623300480, 73_Her,                  261.0274465740, 22.9602821173 
4122561570663585408, HD_157587,               261.2176662020, -18.8592194101
1637203668804279552, HD_158633,               261.2504063850, 67.3067078550 
5960082273634988160, HD_323410,               261.3139243970, -40.5335486348
1435825021800874368, HR_6511,                 261.4223061030, 60.0483982494 
4493602764572400000, HR_6532,                 263.0620014800, 11.9300489362 
5958109681059207680, TYC7889-407-1,           266.1888273160, -39.8484206151
1436561041755507968, HD_164330,               269.0837466950, 62.6100647300 
6702775130923228672, HD_164249,               270.7642077260, -51.6490094256
2266513890608067840, HD_169666,               274.7843402290, 71.5178558866 
4153637755002568576, HD_168746,               275.4574278160, -11.9226812350
6723753056866960640, HR_6948,                 278.2538188630, -39.8920210006
2120651372394918912, TYC3531-1441-1,          279.1562451340, 48.4362533112 
6643589347714850432, HD_181327,               290.7455980330, -54.5380488318
4298143097898310528, HD_187897,               298.0391108460, 7.4600450250  
2029001443230723072, HD_190228,               300.7532192590, 28.3068568335 
2058382146267303168, TYC2678-2088-1,          301.1434230610, 34.3688597115 
2058368058774622464, TYC2679-1864-1,          301.5655222440, 34.2407297439 
2082701007011936000, TYC3559-479-1,           302.0497933930, 46.7854457954 
6847146780087983360, HD_191089,               302.2717317720, -26.2240331658
4224259489925754880, HD_192263,               303.4993564910, -0.8668805289 
2062221847027294848, TYC3155-807-1,           303.8105849360, 40.0973883338 
2084270731654386816, TYC3576-213-1,           303.9366908630, 48.0505722501 
6680036508906887040, HD_192758,               304.5657841480, -42.8600808315
2056660173614790528, TYC2698-1078-1,          309.0316046340, 35.7963772426 
6794047652729201024, AU_Mic,                  311.2897186040, -31.3408995358
2161825230996620928, TYC3175-519-1,           314.6893031540, 42.7049624458 
2197756549437538048, TYC4259-1185-1,          314.9953806860, 66.4179627466 
1732831871564138496, HD_200565,               316.0237315450, 3.9806565403  
1757504259655781504, TYC1112-317-1,           316.5994088740, 12.8627594539 
1736965554247359232, HD_201219,               316.9854989760, 7.4329429442  
1758822024343362944, TYC1113-1057-1,          318.2639684550, 13.0191923571 
6832155213919483648, HD_202206,               318.7407027770, -20.7892105631
6463782431652157184, HD_202917,               320.2081570500, -53.0342096847
6831554743131868672, HD_205674,               324.3379648600, -18.4411789414
2701125857535070336, 3_Peg,                   324.4318580520, 6.6183911572  
6370513643406152320, HD_205536,               325.1240588060, -74.0742812638
6843672082824322176, HD_206893,               326.3412714740, -12.7833529096
2619706540462164992, HD_210277,               332.3744405970, -7.5486561733 
1873642752320874624, 39_Peg,                  338.1478366430, 20.2300210065 
6491606569825090304, TYC8830-410-1,           345.3026633010, -58.9727060550
2832463655344301952, HR_8799,                 346.8696477470, 21.1342514592 
2758229578039477248, HD_221853,               353.9006348390, 8.3826186845  